YearStart,YearEnd,LocationAbbr,LocationDesc,CountyName,DataSource,Topic,Category,Question,Response,Age,Sex,Race_Ethnicity,Risk_Factor,Risk_Factor_Repsonse,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size
2022,2022,AL,Alabama,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,27.49,,,26.5,28.48,2180
2022,2022,AZ,Arizona,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Black, non-Hispanic",All patients,Total,%,Crude Prevalence,29.39,,,28.94,29.85,11370
2022,2022,MS,Mississippi,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Asian,All patients,Total,%,Crude Prevalence,28.45,,,26.79,30.17,790
2022,2022,NH,New Hampshire,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,North American Native,All patients,Total,%,Crude Prevalence,23.73,,,16.38,32.44,30
2022,2022,VT,Vermont,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,28.09,,,25.23,31.08,260
2022,2022,DE,Delaware,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,All races,All patients,Total,%,Crude Prevalence,41.67,,,41.45,41.89,80230
2022,2022,MS,Mississippi,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Other,All patients,Total,%,Crude Prevalence,30.07,,,27.38,32.87,330
2022,2022,OK,Oklahoma,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,All races,All patients,Total,%,Crude Prevalence,32.96,,,32.84,33.07,212600
2022,2022,KS,Kansas,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Asian,All patients,Total,%,Crude Prevalence,34.66,,,33.44,35.9,2030
2022,2022,MI,Michigan,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Other,All patients,Total,%,Crude Prevalence,34.98,,,34.08,35.9,3760
2022,2022,MN,Minnesota,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Other,All patients,Total,%,Crude Prevalence,34.14,,,32.85,35.45,1770
2022,2022,NC,North Carolina,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,All races,All patients,Total,%,Crude Prevalence,35.38,,,35.31,35.45,640600
2022,2022,ND,North Dakota,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Asian,All patients,Total,%,Crude Prevalence,29.5,,,25.44,33.81,140
2022,2022,OH,Ohio,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Asian,All patients,Total,%,Crude Prevalence,36.25,,,35.58,36.93,7150
2022,2022,PR,Puerto Rico,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,33.78,,,32,35.59,920
2022,2022,CO,Colorado,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Black, non-Hispanic",All patients,Total,%,Crude Prevalence,27.74,,,27.18,28.3,6940
2022,2022,MN,Minnesota,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Asian,All patients,Total,%,Crude Prevalence,29.38,,,28.7,30.07,5020
2022,2022,MT,Montana,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Asian,All patients,Total,%,Crude Prevalence,30.52,,,27.59,33.58,290
2022,2022,VT,Vermont,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,33.82,,,33.56,34.08,42910
2022,2022,VA,Virginia,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,39.16,,,39.07,39.26,384300
2022,2022,WY,Wyoming,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,32.89,,,32.59,33.19,31080
2022,2022,NY,New York,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,All races,All patients,Total,%,Crude Prevalence,36.47,,,36.42,36.52,1110000
2022,2022,PR,Puerto Rico,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Asian,All patients,Total,%,Crude Prevalence,,,Value suppressed,,,
2022,2022,VI,U.S. Virgin Islands,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,North American Native,All patients,Total,%,Crude Prevalence,,,Value suppressed,,,
2022,2022,AR,Arkansas,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,33.77,,,33.64,33.91,159300
2022,2022,ME,Maine,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,North American Native,All patients,Total,%,Crude Prevalence,26.72,,,23.47,30.18,190
2022,2022,MD,Maryland,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Asian,All patients,Total,%,Crude Prevalence,33.25,,,32.77,33.73,12340
2022,2022,MI,Michigan,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,North American Native,All patients,Total,%,Crude Prevalence,24.98,,,23.78,26.19,1260
2022,2022,MS,Mississippi,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,26.37,,,25.03,27.75,1090
2022,2022,MO,Missouri,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,30.85,,,30.09,31.62,4350
2022,2022,NV,Nevada,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Other,All patients,Total,%,Crude Prevalence,34.39,,,33.37,35.42,2860
2022,2022,NC,North Carolina,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,North American Native,All patients,Total,%,Crude Prevalence,24.75,,,23.8,25.71,1970
2022,2022,TN,Tennessee,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,25.89,,,25.16,26.62,3580
2022,2022,WA,Washington,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,All races,All patients,Total,%,Crude Prevalence,33.28,,,33.19,33.36,401600
2022,2022,US,National,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,35.4,,,35.39,35.42,14280000
2022,2022,AL,Alabama,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,North American Native,All patients,Total,%,Crude Prevalence,23.85,,,20.82,27.09,180
2022,2022,ID,Idaho,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,37.58,,,37.4,37.75,111100
2022,2022,KS,Kansas,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Other,All patients,Total,%,Crude Prevalence,41.05,,,38.91,43.2,850
2022,2022,MI,Michigan,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,33.09,,,33.01,33.16,511700
2022,2022,NY,New York,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,North American Native,All patients,Total,%,Crude Prevalence,31.55,,,30.29,32.84,1630
2022,2022,SD,South Dakota,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,26.1,,,23.77,28.55,350
2022,2022,TX,Texas,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,North American Native,All patients,Total,%,Crude Prevalence,32.07,,,30.78,33.38,1610
2022,2022,AL,Alabama,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,All races,All patients,Total,%,Crude Prevalence,32.72,,,32.63,32.82,301400
2022,2022,AR,Arkansas,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,North American Native,All patients,Total,%,Crude Prevalence,28.83,,,26.8,30.92,550
2022,2022,MT,Montana,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,All races,All patients,Total,%,Crude Prevalence,32.15,,,31.95,32.35,67850
2022,2022,WV,West Virginia,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Asian,All patients,Total,%,Crude Prevalence,35.48,,,32.88,38.14,460
2022,2022,FL,Florida,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,34.3,,,34.25,34.36,1032000
2022,2022,GA,Georgia,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Asian,All patients,Total,%,Crude Prevalence,34.71,,,34.21,35.2,12430
2022,2022,MD,Maryland,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,All races,All patients,Total,%,Crude Prevalence,34.26,,,34.16,34.36,291600
2022,2022,NV,Nevada,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Asian,All patients,Total,%,Crude Prevalence,34.62,,,34.11,35.13,11520
2022,2022,NJ,New Jersey,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Asian,All patients,Total,%,Crude Prevalence,37.53,,,37.18,37.88,27690
2022,2022,NC,North Carolina,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Black, non-Hispanic",All patients,Total,%,Crude Prevalence,31.56,,,31.41,31.72,111300
2022,2022,TN,Tennessee,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Black, non-Hispanic",All patients,Total,%,Crude Prevalence,27.31,,,27.09,27.54,41610
2022,2022,VI,U.S. Virgin Islands,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Black, non-Hispanic",All patients,Total,%,Crude Prevalence,33.52,,,32.68,34.36,4080
2022,2022,AK,Alaska,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,23.15,,,21.53,24.83,600
2022,2022,AR,Arkansas,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Other,All patients,Total,%,Crude Prevalence,32.95,,,30.62,35.35,510
2022,2022,FL,Florida,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Black, non-Hispanic",All patients,Total,%,Crude Prevalence,32.07,,,31.93,32.21,137800
2022,2022,KY,Kentucky,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,All races,All patients,Total,%,Crude Prevalence,31.84,,,31.74,31.94,256500
2022,2022,OH,Ohio,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,29.07,,,28.56,29.59,8690
2022,2022,PA,Pennsylvania,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,North American Native,All patients,Total,%,Crude Prevalence,27.07,,,23.63,30.73,170
2022,2022,UT,Utah,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,North American Native,All patients,Total,%,Crude Prevalence,22.31,,,20.47,24.23,430
2022,2022,WI,Wisconsin,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Black, non-Hispanic",All patients,Total,%,Crude Prevalence,31.78,,,31.36,32.21,14640
2022,2022,AZ,Arizona,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,34.25,,,34.15,34.34,325200
2022,2022,CO,Colorado,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,All races,All patients,Total,%,Crude Prevalence,34.66,,,34.55,34.76,280500
2022,2022,DE,Delaware,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,43.28,,,43.03,43.53,65070
2022,2022,GA,Georgia,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,All races,All patients,Total,%,Crude Prevalence,34.27,,,34.19,34.34,528600
2022,2022,IA,Iowa,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,32.21,,,31.21,33.22,2710
2022,2022,MA,Massachusetts,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Black, non-Hispanic",All patients,Total,%,Crude Prevalence,34.85,,,34.44,35.25,18640
2022,2022,NE,Nebraska,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Asian,All patients,Total,%,Crude Prevalence,32.91,,,31.07,34.79,820
2022,2022,KY,Kentucky,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Hispanic, any race",All patients,Total,%,Crude Prevalence,27.74,,,26.6,28.9,1640
2022,2022,KY,Kentucky,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Other,All patients,Total,%,Crude Prevalence,34.98,,,32.93,37.07,730
2022,2022,NY,New York,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,37.76,,,37.7,37.83,782100
2022,2022,ND,North Dakota,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,All races,All patients,Total,%,Crude Prevalence,39.19,,,38.91,39.47,46470
2022,2022,AL,Alabama,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Other,All patients,Total,%,Crude Prevalence,35.56,,,33.66,37.49,870
2022,2022,AK,Alaska,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,North American Native,All patients,Total,%,Crude Prevalence,25.81,,,24.96,26.67,2610
2022,2022,IA,Iowa,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"White, non-Hispanic",All patients,Total,%,Crude Prevalence,43.3,,,43.17,43.43,232100
2022,2022,RI,Rhode Island,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Asian,All patients,Total,%,Crude Prevalence,35.85,,,34.01,37.74,930
2022,2022,SC,South Carolina,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Black, non-Hispanic",All patients,Total,%,Crude Prevalence,33.26,,,33.06,33.45,74020
2022,2022,VT,Vermont,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Black, non-Hispanic",All patients,Total,%,Crude Prevalence,21.36,,,18.23,24.77,130
2022,2022,VA,Virginia,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Black, non-Hispanic",All patients,Total,%,Crude Prevalence,34.33,,,34.14,34.52,81410
2022,2022,PR,Puerto Rico,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,"Black, non-Hispanic",All patients,Total,%,Crude Prevalence,31.71,,,23.61,40.71,40
2022,2022,KY,Kentucky,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Asian,All patients,Total,%,Crude Prevalence,31.13,,,29.7,32.58,1250
2022,2022,ME,Maine,,Medicare FFS MA,,,Annual prevalence of diagnosed cataracts,All Cataracts,All Ages,Both sexes,Other,All patients,Total,%,Crude Prevalence,35.23,,,32.58,37.96,440
